year,sex,age,mortality_rate
1954,Male,1,0.05641227
1954,Female,1,0.05209394
1954,Male,2,0.03694319
1954,Female,2,0.03437342
1954,Male,3,0.02445788
1954,Female,3,0.02292417
1954,Male,4,0.01655739
1954,Female,4,0.01562794
1954,Male,5,0.01160288
1954,Female,5,0.01102223
1954,Male,6,0.00851347
1954,Female,6,0.0081383
1954,Male,7,0.00660147
1954,Female,7,0.00634981
1954,Male,8,0.00541928
1954,Female,8,0.00524898
1954,Male,9,0.00470442
1954,Female,9,0.00459585
1954,Male,10,0.00429207
1954,Female,10,0.00423958
1954,Male,11,0.00408509
1954,Female,11,0.00409283
1954,Male,12,0.0040273
1954,Female,12,0.00410087
1954,Male,13,0.00408578
1954,Female,13,0.0042281
1954,Male,14,0.00424802
1954,Female,14,0.00444798
1954,Male,15,0.00451098
1954,Female,15,0.00473594
1954,Male,16,0.00487793
1954,Female,16,0.00506704
1954,Male,17,0.00535406
1954,Female,17,0.00541297
1954,Male,18,0.00592978
1954,Female,18,0.0057502
1954,Male,19,0.00657696
1954,Female,19,0.00605665
1954,Male,20,0.00723305
1954,Female,20,0.00632274
1954,Male,21,0.00780503
1954,Female,21,0.00654503
1954,Male,22,0.00821352
1954,Female,22,0.00672845
1954,Male,23,0.0084042
1954,Female,23,0.00688219
1954,Male,24,0.00839614
1954,Female,24,0.00701834
1954,Male,25,0.00825819
1954,Female,25,0.00715021
1954,Male,26,0.00807618
1954,Female,26,0.0072896
1954,Male,27,0.00793646
1954,Female,27,0.00744684
1954,Male,28,0.00788272
1954,Female,28,0.00762423
1954,Male,29,0.00793077
1954,Female,29,0.00781986
1954,Male,30,0.00807071
1954,Female,30,0.0080238
1954,Male,31,0.00827095
1954,Female,31,0.00822297
1954,Male,32,0.00850373
1954,Female,32,0.00840896
1954,Male,33,0.00874429
1954,Female,33,0.00857698
1954,Male,34,0.00898263
1954,Female,34,0.00873482
1954,Male,35,0.00922637
1954,Female,35,0.00889657
1954,Male,36,0.00948837
1954,Female,36,0.00907829
1954,Male,37,0.00978682
1954,Female,37,0.00929556
1954,Male,38,0.01013179
1954,Female,38,0.00954783
1954,Male,39,0.01052123
1954,Female,39,0.00982422
1954,Male,40,0.01094536
1954,Female,40,0.01009863
1954,Male,41,0.01138328
1954,Female,41,0.01033683
1954,Male,42,0.01181848
1954,Female,42,0.01052146
1954,Male,43,0.01224578
1954,Female,43,0.01064892
1954,Male,44,0.0126722
1954,Female,44,0.01074925
1954,Male,45,0.0131263
1954,Female,45,0.01087317
1954,Male,46,0.01363982
1954,Female,46,0.01107491
1954,Male,47,0.01424335
1954,Female,47,0.01141077
1954,Male,48,0.01495747
1954,Female,48,0.01190479
1954,Male,49,0.01577368
1954,Female,49,0.01255739
1954,Male,50,0.01666979
1954,Female,50,0.01333498
1954,Male,51,0.01760072
1954,Female,51,0.01417056
1954,Male,52,0.01852314
1954,Female,52,0.01500951
1954,Male,53,0.01942741
1954,Female,53,0.01581224
1954,Male,54,0.0203275
1954,Female,54,0.0165952
1954,Male,55,0.02129404
1954,Female,55,0.01743188
1954,Male,56,0.02241539
1954,Female,56,0.01841939
1954,Male,57,0.02377538
1954,Female,57,0.01967956
1954,Male,58,0.02545146
1954,Female,58,0.0212949
1954,Male,59,0.02745294
1954,Female,59,0.0232996
1954,Male,60,0.02975586
1954,Female,60,0.02566384
1954,Male,61,0.03227843
1954,Female,61,0.02826375
1954,Male,62,0.03490992
1954,Female,62,0.03096784
1954,Male,63,0.03759988
1954,Female,63,0.03365944
1954,Male,64,0.04033648
1954,Female,64,0.03631289
1954,Male,65,0.04322673
1954,Female,65,0.03904593
1954,Male,66,0.04644602
1954,Female,66,0.04204189
1954,Male,67,0.05016965
1954,Female,67,0.04555626
1954,Male,68,0.05458097
1954,Female,68,0.04979859
1954,Male,69,0.05974689
1954,Female,69,0.05487112
1954,Male,70,0.06565257
1954,Female,70,0.06077194
1954,Male,71,0.07218739
1954,Female,71,0.06730921
1954,Male,72,0.07915393
1954,Female,72,0.07424751
1954,Male,73,0.08643116
1954,Female,73,0.08136866
1954,Male,74,0.09396556
1954,Female,74,0.08854781
1954,Male,75,0.10186244
1954,Female,75,0.09588697
1954,Male,76,0.11037165
1954,Female,76,0.10358458
1954,Male,77,0.11974922
1954,Female,77,0.11194533
1954,Male,78,0.1302601
1954,Female,78,0.12125203
1954,Male,79,0.14204765
1954,Female,79,0.13164755
1954,Male,80,0.15511665
1954,Female,80,0.14318483
1954,Male,81,0.16936666
1954,Female,81,0.15573579
1954,Male,82,0.18457071
1954,Female,82,0.16911561
1954,Male,83,0.20048708
1954,Female,83,0.18313096
1954,Male,84,0.21687621
1954,Female,84,0.1975919
1954,Male,85,0.23353733
1954,Female,85,0.2123918
1954,Male,86,0.25034936
1954,Female,86,0.22747549
1954,Male,87,0.26731406
1954,Female,87,0.24290621
1954,Male,88,0.28461512
1954,Female,88,0.25883342
1954,Male,89,0.30258632
1954,Female,89,0.2755409
